id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,Write ADR-0016 Draft,DONE,docs/adr/0016-sidebar-consolidation.md exists with Status: Draft,test -f docs/adr/0016-sidebar-consolidation.md,2026-05-04,0,Done in this same session
2,Build new Sidebar primitive,TODO,packages/ui/src/layout/sidebar.tsx exists; exports Sidebar; supports collapsed state + grouped sections + tooltip + `[` shortcut + localStorage,test -f packages/ui/src/layout/sidebar.tsx,,0,
3,Update SidebarItemModel + types,TODO,SidebarItemModel.group required; SidebarGroup type added; IconRailGroup types removed,grep -L 'IconRailGroup' packages/ui/src/layout/types.ts,,0,
4,Update AppShell interface,TODO,AppShell.iconRail prop removed; chrome=full|screen prop added; sidebar prop unchanged shape,grep -L 'iconRail' packages/ui/src/layout/app-shell.tsx,,0,
5,Delete IconRail + ContextualSidebar primitives,TODO,both files removed; index.ts exports cleaned; pnpm typecheck breaks all 7 shells (expected pre-rewrite),! ls packages/ui/src/layout/icon-rail.tsx 2>/dev/null,,0,
6,Extract shared sidebar items,TODO,apps/web/src/components/shell/sidebar-items.ts exposes 8-item flat list with group field,test -f apps/web/src/components/shell/sidebar-items.ts,,0,
7,Rewrite overview-shell.tsx,TODO,uses Sidebar; no IconRail/ContextualSidebar import; lint+tsc clean for this file,pnpm exec biome check apps/web/src/components/overview/overview-shell.tsx,,0,
8,Rewrite rules-shell.tsx,TODO,same as #7,pnpm exec biome check apps/web/src/components/rules/rules-shell.tsx,,0,
9,Rewrite alerts-app-shell.tsx,TODO,same as #7,pnpm exec biome check apps/web/src/components/alerts/alerts-app-shell.tsx,,0,
10,Rewrite instances-list-shell.tsx,TODO,same as #7,pnpm exec biome check apps/web/src/components/instances-list/instances-list-shell.tsx,,0,
11,Rewrite instance-detail-shell.tsx,TODO,same as #7,pnpm exec biome check apps/web/src/components/instance-detail/instance-detail-shell.tsx,,0,
12,Rewrite notify-shell.tsx,TODO,same as #7; admin href fixed to /settings; matchPrefixes /operate dead path removed,pnpm exec biome check apps/web/src/components/notify/notify-shell.tsx,,0,
13,Rewrite admin-shell.tsx,TODO,same as #7,pnpm exec biome check apps/web/src/components/settings-audit/admin-shell.tsx,,0,
14,Add i18n keys + aria,TODO,messages/zh-CN.json has sidebar.* keys; aria-label/aria-expanded/aria-current applied,grep -E 'sidebar.*toggle' apps/web/messages/zh-CN.json,,0,
15,Run full machine gate,TODO,lint+tsc+test+build all green; route count = 25,pnpm lint && pnpm typecheck && pnpm test && cd apps/web && pnpm build,,0,
16,Verify zero references to old primitives,TODO,grep -rn 'IconRail|ContextualSidebar' apps packages returns 0 hits,! grep -rE 'IconRail\|ContextualSidebar' apps/web/src apps/web/app packages/ui/src,,0,
17,Docker rebuild web image + up,TODO,db-monitor-dev-web-1 healthy on 39101 with new image,docker inspect db-monitor-dev-web-1 --format '{{.State.Health.Status}}',,0,
18,Playwright headed verification — expanded state,TODO,sidebar 240px wide; 4 sections visible with headers; active item highlighted,echo manual,,0,
19,Playwright headed verification — collapsed state,TODO,sidebar 64px wide; section headers hidden; tooltip on hover,echo manual,,0,
20,Playwright headed verification — `[` shortcut + localStorage,TODO,pressing `[` toggles; reload preserves last state,echo manual,,0,
21,Take screenshot proofs,TODO,sidebar-expanded.png + sidebar-collapsed.png saved under .playwright-cli/snapshots/,test -f .playwright-cli/snapshots/sidebar-expanded.png,,0,
22,Mark ADR-0016 Accepted,TODO,Status field changed Draft -> Accepted; commit on its own,grep '^Status: Accepted' docs/adr/0016-sidebar-consolidation.md,,0,
23,Push branch + open PR β.0,TODO,gh pr ready against main with body referencing ADR-0016 + EPIC,gh pr view --json state,,0,
