id,task,status,notes,verify,completed_at,depends_on,detail
1,Build OverviewShell client wrapper (AppShell + IconRail + Sidebar + TopBar + ThemeToggle),DONE,"page-local shell; #9 will absorb globally","apps/web/src/components/overview/overview-shell.tsx",2026-04-23,,"放 apps/web/src/components/overview/overview-shell.tsx"
2,Build OverviewPalette (CSS-var chart palette + theme-aware helper for ECharts),DONE,"reads --chart-1..8 / --fg-* / --border-* via getComputedStyle","apps/web/src/components/overview/overview-chart-palette.ts",2026-04-23,1,"apps/web/src/components/overview/overview-chart-palette.ts"
3,Build OverviewLineChart ECharts client component reading palette,DONE,"dynamic import; resize observer; no hex hardcoding","apps/web/src/components/overview/overview-line-chart.tsx",2026-04-23,2,"apps/web/src/components/overview/overview-line-chart.tsx"
4,Build FleetHealthMatrix (clickable grid, each cell = instance; links to /instances/[id]),DONE,"4-color severity; a11y Link semantics; Server Component","apps/web/src/components/overview/fleet-health-matrix.tsx",2026-04-23,1,"apps/web/src/components/overview/fleet-health-matrix.tsx"
5,Build InstancesSnapshotTable (row5 table: name/engine/env/status/labels),DONE,"tabular-nums; row click via Link","apps/web/src/components/overview/instances-snapshot-table.tsx",2026-04-23,1,"apps/web/src/components/overview/instances-snapshot-table.tsx"
6,Build OverviewAutoRefresh (client wrapper using useAutoRefresh + router.refresh + pause/resume),DONE,"30s default; pause toggle; no spinner","apps/web/src/components/overview/overview-auto-refresh.tsx",2026-04-23,1,"apps/web/src/components/overview/overview-auto-refresh.tsx"
7,Build WindowSelector (client toggle writing ?window= to URL),DONE,"segmented-style buttons for 15m/1h/6h/24h","apps/web/src/components/overview/window-selector.tsx",2026-04-23,1,"apps/web/src/components/overview/window-selector.tsx"
8,Rewrite apps/web/app/overview/page.tsx (Server Component composing Canonical template + 5 rows),DONE,"preserves requireServerSession + getOverview; maps OverviewResponse into 8 charts + fleet matrix + table","apps/web/app/overview/page.tsx",2026-04-23,1;2;3;4;5;6;7,"apps/web/app/overview/page.tsx full rewrite"
9,Append overviewPage.* namespace keys to apps/web/messages/zh-CN.json,DONE,"46 keys appended; no existing namespaces modified","apps/web/messages/zh-CN.json",2026-04-23,8,"追加 overviewPage namespace；禁碰已有 namespace"
10,Validation: lint/typecheck/test scoped all green,DONE,"biome check overview scope 0 err; tsc 0 overview errors; vitest 114 pass","pnpm --filter web exec biome check app/overview src/components/overview && pnpm --filter web test",2026-04-23,1;2;3;4;5;6;7;8;9,"scoped gate；full-repo build 由兄弟 #3/#8/#9 阻塞，交 #10 epic gate"
11,Mark SUBTASKS.csv id=2 DONE + completed_at=2026-04-23,DONE,"scoped gates 全绿","grep -E '^2,.*DONE' .codex-tasks/20260423-ui-redesign-slice1-5/SUBTASKS.csv",2026-04-23,10,"收官"
