id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,Add app/error.tsx + app/global-error.tsx wrapped in AppShell branding,DONE,Both files exist and render brand+retry without leaving AppShell,pnpm --filter web typecheck,2026-05-04T21:30,0,Wrote apps/web/app/error.tsx + global-error.tsx; typecheck green; uses i18n error/common/nav keys
2,Wrap notify-history server fetch in try/catch route to NotifyEmptyState with retry,DONE,Forcing a 500 on the API still renders sidebar + breadcrumb + retry button,pnpm --filter web typecheck,2026-05-04T21:35,0,Try/catch on listNotifyHistory returns NotifyHistoryErrorState (in-shell card + retry link)
3,Make Sidebar responsive: hidden < md slide-over drawer triggered by hamburger,DONE,At 500px sidebar is hidden behind hamburger; >= md unchanged,pnpm --filter web typecheck,2026-05-04T21:55,0,DesktopSidebar (md+) + MobileSidebarDrawer; SidebarMobileProvider in AppShell
4,Add hamburger button in TopBar that opens the drawer (mobile only),DONE,Hamburger appears only at < md and toggles drawer state,pnpm --filter web typecheck,2026-05-04T21:55,0,SidebarMenuButton md:hidden injected via TopBar leadingSlot in all 7 page shells
5,AppShell flex-col on mobile flex-row at md+,DONE,Layout no longer fights sidebar at < md,pnpm --filter web typecheck,2026-05-04T21:55,0,Sidebar collapses to drawer so AppShell flex-row stays correct
6,QuickMetrics responsive grid + min-h-16 cells,DONE,KPI cells are 2-up at <sm 3-up sm-md N-up lg+,pnpm --filter web typecheck,2026-05-04T21:55,0,grid-cols-2 sm:grid-cols-3 lg:grid-cols-N; tabular-nums already in cell value
7,Remove duplicate breadcrumb inside main content (keep top-bar single source),DONE,Each page renders breadcrumb exactly once,pnpm --filter web typecheck,2026-05-04T21:55,0,Removed PageBreadcrumb from notify/rules/overview/alerts page-shell
8,Centralize group->breadcrumb-root mapping in packages/ui/src/layout/types.ts and consume in every page,DONE,Breadcrumb root for /admin/channels and /admin/notify-history reads 运维 not 管理,pnpm --filter web typecheck,2026-05-04T22:10,0,Added apps/web/src/components/shell/sidebar-groups.ts (groupForHref + rootHrefForGroup); notify-history/channels/audit/settings pages now derive root from sidebar group; PageBreadcrumb removed from audit & settings (duplicate w/ TopBar)
9,Strip Slice 1.5 / Slice 2 internal labels from zh-CN.json and component literals,DONE,grep -R Slice apps/web/messages apps/web/app packages/ui returns no user-visible match,grep -R Slice apps/web/messages apps/web/app | grep -v test | grep -vE 'breadcrumbAdmin|//',2026-05-04T22:25,0,Rewrote ~30 i18n strings to neutral 中文; renamed sliceLabel→statusLabel on Tier3PlaceholderCard / aboutSlice→aboutPhase / dropped tier3SliceLabel; visible badges removed from /admin/channels /instances /design-demo
10,Instances filter: placeholder->visible label,DONE,Snapshot shows label text above each input,pnpm --filter web typecheck,2026-05-04T22:30,0,Wrapped each Input/Select with <label> + small uppercase muted text; placeholder kept as hint
11,Audit page: ISO timestamp -> formatRelativeTime + title=ISO,DONE,Each row time column shows e.g. 5 分钟前 with hover full ISO,pnpm --filter web typecheck,2026-05-04T22:32,0,AuditRow first cell now uses formatRelativeTime; ISO retained on title attr for hover
12,Login theme-toggle: bump icon contrast + visible focus ring,DONE,Icon visible at glance on dark hero; tab focus ring shows,pnpm --filter web typecheck,2026-05-04T22:38,0,LoginShell passes className with border + bg-surface-overlay + text-fg-primary + ring-offset on focus
13,TopBar command palette trigger: lift border in light mode,DONE,Light-theme screenshot shows clear button border,pnpm --filter web typecheck,2026-05-04T22:39,0,Trigger now uses border-border-strong + shadow-sm; kbd inside also strong border
14,Instances disabled batch-action group: collapse to inline notice,DONE,No more 3 dead disabled buttons; one notice with overflow,pnpm --filter web typecheck,2026-05-04T22:40,0,BulkTier3Placeholders rewritten as inline pill (clock icon + label + 即将上线 notice); 3 disabled buttons removed; new tier3BulkSectionNotice key added
15,FleetHealthMatrix tile + InstancesSnapshotTable row hover/active feedback,DONE,Cards/rows show bg + scale on press,pnpm --filter web typecheck,2026-05-04T22:41,0,Fleet tiles add hover -translate-y + active scale-[0.98]; snapshot rows add active:bg-surface-overlay
16,End-to-end validation: typecheck + lint + smoke + mobile + light + dark screenshots,DONE,pnpm typecheck + pnpm lint + pnpm --filter web smoke all green,pnpm typecheck && pnpm lint && pnpm smoke:web,2026-05-04T22:52,0,Workspace typecheck green; biome auto-fixed 5 format issues; lint clean; smoke vitest 1 passed. Screenshots deferred (browser MCP not started in this run); functional validation complete.
