id,task,status,notes,verify,completed_at,depends_on,detail
1,Build InstancesListShell client wrapper (AppShell + IconRail + Sidebar + TopBar + ThemeToggle),DONE,"apps/web/src/components/instances-list/instances-list-shell.tsx；复用 design-demo iconGroups 形态","grep -l 'use client' apps/web/src/components/instances-list/instances-list-shell.tsx",2026-04-23,,"page-local 组装；等 #9 接管后全局化"
2,Build InstanceSparkline mini ECharts client component (metric switch aware),DONE,"reads CSS var palette via local helpers；type=line；no hex；fallback SSR palette","grep -q 'readCssVar' apps/web/src/components/instances-list/instance-sparkline.tsx",2026-04-23,1,"行高 36px；禁 tooltip/legend/axis"
3,Build InstancesFilterChips (env/status/label) + InstancesToolbar (view/spark toggle + create CTA),DONE,"URL search param 写回；chip × 支持单项移除；fieldset 聚合 segmented","grep -q 'useRouter' apps/web/src/components/instances-list/instances-filter-chips.tsx",2026-04-23,1,"filter-chips.tsx 处理 env/status/label/name；instances-toolbar.tsx 处理 view + spark + create CTA"
4,Build InstancesTable (Catalog 范式，行内 sparkline + 重验证按钮 + Tier 3 disabled actions),DONE,"tabular-nums；row link 到详情；SeverityTone 按 validation.status 分路","grep -q 'tabular-nums' apps/web/src/components/instances-list/instances-table.tsx",2026-04-23,1;2,"fanout 上限 30 行；超出行标注 skipped"
5,Build InstancesGrid (card 栅格视图，卡内 sparkline + 重验证按钮 + Tier 3 disabled actions),DONE,"sm:2 xl:3 自适应；hover 描边 --accent","grep -q 'grid-cols' apps/web/src/components/instances-list/instances-grid.tsx",2026-04-23,1;2,"与表格同源；fanout 阈值提示在 Card 外"
6,Build CreateInstanceDrawer (Dialog + form 复用 createInstanceAction),DONE,"引擎切换（mysql/oracle）+ INSTANCE_FORM_FIELDS 8 字段；required HTML5；form action = createInstanceAction","grep -q 'createInstanceAction' apps/web/src/components/instances-list/create-instance-drawer.tsx",2026-04-23,1,"Dialog primitive 作为抽屉容器"
7,Add validateInstanceAction server action (POST /control/instances/{id}/validate via fetch),DONE,"monitoring-actions.ts 顶部追加；cookie forwarding；ID 正则白名单；失败显式抛错","grep -q 'validateInstanceAction' apps/web/src/monitoring-actions.ts",2026-04-23,,"不碰 packages/api-client；revalidatePath('/instances') + revalidatePath('/instances/{id}')"
8,Build RevalidateInstanceButton (client wrapper calling validateInstanceAction),DONE,"useTransition pending 禁连点；Toast 成功/失败（variant=success/error）","grep -q 'validateInstanceAction' apps/web/src/components/instances-list/revalidate-instance-button.tsx",2026-04-23,7,"ToastProvider 在 Shell 层挂载"
9,Build InstancesEmptyState (首次接入 + 过滤无结果两态),DONE,"first-run = 主 CTA + 文档占位；filtered = 清除过滤 CTA","grep -q 'emptyFirstRunTitle' apps/web/messages/zh-CN.json",2026-04-23,1;6,"文档链接 #docs-coming-soon honest placeholder"
10,Build Slice2Banner (dismissible + localStorage persistence),DONE,"hydration-safe：SSR 永远显示；mount 后 useEffect 读 localStorage","grep -q 'localStorage' apps/web/src/components/instances-list/slice2-banner.tsx",2026-04-23,1,"key = instances.slice2Banner.dismissed"
11,Rewrite apps/web/app/instances/page.tsx (Server Component composing Canonical + data + trend fanout),DONE,"Promise.all 并行拉 filtered + total + trends；fanout 上限 30；错误回落空 series（非伪造）","pnpm --filter web build --no-color 2>&1 | grep '/instances'",2026-04-23,1;2;3;4;5;6;8;9;10,"保留 requireServerSession + listInstances；EntitySummary + QuickMetrics 头"
12,Append instancesPage.* namespace keys to apps/web/messages/zh-CN.json,DONE,"JSON 解析通过；不触碰已有 10 namespace","node -e \"JSON.parse(require('fs').readFileSync('apps/web/messages/zh-CN.json','utf8'))\"",2026-04-23,11,"新增 instancesPage namespace（filter/chip/view/spark/create/column/validation/tier3/empty/banner）"
13,Validation: lint/typecheck/test/build all green,DONE,"tests 127/127 通过（baseline 104）","pnpm --filter web lint && pnpm --filter web typecheck && pnpm --filter web test && pnpm --filter web build",2026-04-23,1;2;3;4;5;6;7;8;9;10;11;12,"build 15 路由（含 /instances）；#10 epic gate 处做 Playwright + 视觉回归"
14,Mark SUBTASKS.csv id=3 DONE + completed_at=2026-04-23,DONE,"走 A；Tier 3 占位明确","grep -E '^3,.*DONE' .codex-tasks/20260423-ui-redesign-slice1-5/SUBTASKS.csv",2026-04-23,13,"收官"
